# Autism Researchers — 349 entries | source: https://profoundasd.com/autism-researchers/
# format: [location] name | organizations (;-separated) | focus areas | summary

[Anchorage] Kimberly R. Olson, PhD | Center for Human Development; University of Alaska Anchorage | psychology | Conducts research on neurodevelopmental disabilities focusing on Alaskan communities.
[Miami] Daniel Messinger, PhD | University of Miami | psychology | Conducts longitudinal studies of infants at risk for ASD, showing how early social behaviors (e.g., smiling, eye contact) in the first year predict later autism outcomes
[Milwaukee] Amy Vaughan Van Hecke, PhD | Department of Psychology; Marquette Autism Consortium; Marquette University | psychology | Conducts research on social neuroscience and the efficacy of interventions for autism.
[Milwaukee] Bonnie Klein-Tasman, PhD | Child Neurodevelopment Research Lab; University of Wisconsin–Milwaukee | neuropsychology | Researches cognitive and psychosocial functioning in children with neurodevelopmental disorders, especially Williams syndrome and neurofibromatosis type 1 (NF1).
[Milwaukee] Mary Carlson, PhD | Marquette University |  | Professor Emerita
[Minneapolis] Amy Esler, PhD | Masonic Institute for the Developing Brain (MIDB); Autism and Neurodevelopment Clinic; University of Minnesota Medical School | psychology | Co-Principal Investigator for the Minnesota-Autism and Developmental Disabilities Monitoring (MN-ADDM) Network.
[Minneapolis] Chimei Lee, PhD | Department of Pediatrics; University of Minnesota |  | Assistant Professor
[Minneapolis] Essa Yacoub, PhD | Center for Magnetic Resonance Research (CMRR); University of Minnesota | brain science | Pioneers the development of high-field MRI techniques to achieve unprecedented resolution in human brain imaging.
[Minneapolis] Malgorzata Marjanska, PhD | Center for Magnetic Resonance Research (CMRR); University of Minnesota | brain science | Develops advanced Magnetic Resonance Spectroscopy (MRS) techniques to non-invasively measure neurochemicals in the human brain.
[Missoula] John F. Strain, PhD | Montana Center for Childhood Trauma; University of Montana | psychology | Leads clinical training programs in child psychology at the University of Montana.
[Missoula] Amanda J. Hardy, PhD | DeWit RiteCare Speech; Language; and Hearing Clinic; University of Montana | language | Specializes in speech and language assessment and intervention for children with neurodevelopmental disorders.
[Missoula] Rebecca L. Smith, PhD | Rural Institute for Inclusive Communities; University of Montana | psychology | Conducts applied research on behavioral interventions for individuals with autism and developmental disabilities in rural communities.
[Montclair] Erin Kang, PhD | Montclair State University |  | Assistant Professor
[Montreal] Karen Toth, PhD | PERFORM Centre; Concordia University |  | Associate Professor
[Morgantown] Kimberly M. Bender, PhD | WVU Center for Excellence in Disabilities (CED); West Virginia University | psychology | Provides diagnostic evaluations and evidence-based interventions for individuals with autism in West Virginia.
[Moscow] Grunya Efimovna Sukhareva, MD | Moscow Psychiatric Clinic of Kashchenko Hospital; Central Scientific Institute of Pediatry and Adolescent Health | medicine | Published the first detailed clinical descriptions of autism-like traits (termed 'schizoid psychopathy') in 1925, predating Kanner and Asperger.
[Nashville] Blythe A. Corbett, PhD | SENSE Lab; Vanderbilt Kennedy Center; Vanderbilt University Medical Center | psychology & neuroscience | Developed SENSE Theatre®, a peer-mediated, theatre-based intervention to improve social competence in individuals with ASD.
[Nashville] Laura Corona, PhD | Vanderbilt Kennedy Center (VKC); Treatment and Research Institute for Autism Spectrum Disorders (TRIAD); Vanderbilt University Medical Center |  | Assistant Professor of Pediatrics
[Nashville] Simon Vandekar, PhD | Vanderbilt University School of Medicine; Vanderbilt University Medical Center |  | Assistant Professor of Biostatistics
[Nashville] Tiffany Woynaroski, PhD | Vanderbilt Kennedy Center (VKC); Vanderbilt University Medical Center |  | Associate Professor of Hearing & Speech Sciences and Psychiatry & Behavioral Sciences
[Nashville] Jessica M. Schwartzman, Ph.D. | Vanderbilt University Medical Center; Vanderbilt University | psychology | Developed autism-adapted cognitive behavioral therapy (CBT) interventions to treat depression in autistic youth
[Nashville] Beth A. Malow, MD, MS | Vanderbilt University Medical Center; Vanderbilt University | medicine | Pioneered research into the prevalence, impact, and treatment of sleep disorders in individuals with autism.
[Nashville] Kimberly Schauder, PhD | Vanderbilt Kennedy Center (VKC); Treatment and Research Institute for Autism Spectrum Disorders (TRIAD); Vanderbilt University Medical Center |  | Assistant Professor of Pediatrics
[New Brunswick] Elaine B. Clarke, PhD | Graduate School of Applied and Professional Psychology (GSAPP); Rutgers University |  | Postdoctoral Fellow
[New Brunswick] Maria Chiara Manzini, PhD | Child Health Institute of New Jersey; Robert Wood Johnson Medical School; Rutgers University |  | Associate Professor
[New Brunswick] Marisol Marroquin, PhD, LMSW | School of Social Work; Center for Research on Ending Violence; Rutgers University |  | Postdoctoral Associate
[New Brunswick] Robert H. LaRue, PhD, BCBA-D | Graduate School of Applied and Professional Psychology (GSAPP); Douglass Developmental Disabilities Center (DDDC); Rutgers University |  | Clinical Professor
[New Haven] Suzanne L. Macari, PhD | Yale Child Study Center; Yale Toddler Developmental Disabilities Clinic; Yale School of Medicine |  | Assistant Professor of Psychiatry
[New Haven] Rebecca Muhle, MD, PhD | Yale Child Study Center; Yale Center for Genome Analysis; Yale School of Medicine |  | Assistant Professor of Psychiatry
[New Haven] Kasia Chawarska, PhD | Child Study Center; Toddler Developmental Disabilities Clinic; Yale University | brain science | Led prospective, longitudinal studies of infant siblings to identify the earliest behavioral and eye-tracking markers of autism risk.
[New Haven] Yong-Hui Jiang, MD, PhD | Division of Medical Genetics; Yale University | genetics | Conducts functional studies to determine the molecular and cellular impact of genetic variants associated with autism.
[New Haven] Fred R. Volkmar, MD | Yale Child Study Center; Yale University | psychology | Served as the lead author and editor for the autism and Pervasive Developmental Disorders section of the DSM-IV.
[New Haven] James C. McPartland, PhD | Yale Child Study Center; Yale Developmental Disabilities Clinic; Yale University | brain science | Pioneered the use of electrophysiological and eye-tracking methods to understand the neural basis of social disability in autism.
[New Haven] Kristen Brennand, PhD | Yale Department of Psychiatry; Yale Stem Cell Center; Yale School of Medicine |  | Elizabeth Mears and House Jameson Professor of Psychiatry
[New Haven] David J. Lewkowicz, PhD | Yale Child Study Center; Yale School of Medicine | developmental psychology | Investigates perceptual and cognitive development in infancy and early childhood.
[New York] Alycia Halladay, PhD | Autism Science Foundation (ASF); Rutgers University | advocacy & public health | Directs the scientific activities, grants program, and research initiatives for the Autism Science Foundation.
[New York] Hannah Walker, PhD | Teachers College; Columbia University |  | PhD in Applied Behavior Analysis & Behavioral Disorders (Alum)
[New York] Lauren J. Donnelly, PhD | NYU Langone; Hassenfeld Children's Hospital; Child Study Center; NYU Grossman School of Medicine |  | Clinical Associate Professor
[New York] Sudha Arunachalam, PhD | NYU Steinhardt School of Culture; Education; and Human Development; NYU Langone Health; New York University (NYU) |  | Associate Professor
[New York] Sylvie Goldman, PhD | Department of Neurology; Columbia University Irving Medical Center |  | Associate Professor of Neuropsychology (in Neurology)
[New York] Alex Kolevzon, MD | Seaver Autism Center for Research and Treatment; Icahn School of Medicine at Mount Sinai | genetics | Designs and leads clinical trials for targeted treatments in single-gene forms of autism, such as Phelan-McDermid and Fragile X syndromes.
[New York] Brett Abrahams, PhD | Rose F. Kennedy Intellectual and Developmental Disabilities Research Center; Albert Einstein College of Medicine | genetics | Identified novel autism risk genes, including making seminal discoveries related to the CNTNAP2 gene.
[New York] Gil Eyal, PhD | Columbia University | public policy | Developed a sociological theory linking the late 20th-century rise in autism diagnoses to the policy of deinstitutionalization.
[New York] Marisela Huerta, PhD | Center for Autism and the Developing Brain; Weill Cornell Medicine | public health | Leads research to reduce disparities in autism diagnosis and access to care for underserved and Latinx communities.
[New York] Jeremy Veenstra-VanderWeele, MD | NewYork-Presbyterian Hospital; New York State Psychiatric Institute (NYSPI); Columbia University Vagelos College of Physicians and Surgeons |  | Suzanne Crosby Murphy Professor of Developmental Neuropsychiatry
[Newark] Aaron Dallman | Rutgers School of Health Professions; Nexus Program (Rutgers); Rutgers University |  | Develops strengths-based, participatory research methods empowering autistic individuals to share their emotional experiences, challenging assumptions about self-report in autism .
[Northampton] Meredith Pecukonis | Smith College |  | Postdoctoral Researcher
[Oakland] Jennifer L. Ames, PhD | Kaiser Permanente Northern California Division of Research; Autism Research Program |  | Research Scientist II
[Ohio] Stacy Miner |  |  | 
[Oklahoma City] Patricia R. Miller, PhD | University of Oklahoma Health Sciences Center | language | Leads an academic department dedicated to training speech-language pathologists.
[Omaha] Morgan Engelmann, AuD, PhD | Boys Town National Research Hospital; Center for Perception and Communication in Children |  | Postdoctoral Research Fellow
[Oxford] Aaron Shield, Ph.D. | Sign Language and Autism at Miami (SLAM) Lab; Miami University; University of Texas at Austin |  | Pioneered research on language development in deaf autistic children, documenting phenomena like sign language echolalia and pronoun avoidance .
[Oxford] Jason P. Lerch, PhD | Wellcome Centre for Integrative Neuroimaging (WIN); Nuffield Department of Clinical Neurosciences; University of Oxford |  | Professor of Neuroimaging
[Oxford] Melody R. Musgrove, EdD | U.S. Department of Education (Former); University of Mississippi (Final Affiliation) | special education policy | Served as Director of the Office of Special Education Programs (OSEP) for the U.S. Department of Education for 6.5 years (Obama administration).
[Pennsylvania] Eric Fenclau, MSEd | Duquesne University (Alum) |  | Independent Education Specialist
[Pennsylvania] Mark T. Rasmus, PhD |  | psychology | Provides clinical assessment and behavioral intervention services for individuals with autism.
[Peoria] Tara Haelle |  | media | Authored books like 'Vaccination Investigation' to provide parents with evidence-based, accessible information on vaccines and child health.
[Philadelphia] Ashley de Marchena, PhD | A.J. Drexel Autism Institute; Drexel University | psychology & language | Researches language and communication in autistic children and adults.
[Philadelphia] Benjamin E. Yerys, PhD | Center for Autism Research (CAR); Department of Child and Adolescent Psychiatry and Behavioral Sciences; Children's Hospital of Philadelphia (CHOP); University of Pennsylvania Perelman School of Medicine | psychology | Researches cognitive control, executive function, and repetitive behaviors in autistic individuals.
[Philadelphia] J. Christopher Edgar, PhD | Department of Radiology; Center for Autism Research (CAR); Lurie Family Foundations MEG Imaging Center; Children's Hospital of Philadelphia (CHOP); University of Pennsylvania Perelman School of Medicine | neuroscience & imaging | Uses multimodal neuroimaging (MEG, EEG, MRI) to find biomarkers for autism and other neurodevelopmental disorders.
[Philadelphia] Dena Gassner, PhD | A.J. Drexel Autism Institute; Drexel University |  | Senior Research Scientist
[Philadelphia] Diana L. Robins, PhD | A.J. Drexel Autism Institute; Drexel University |  | Professor and Director
[Philadelphia] Elisabeth Sheridan, PhD | A.J. Drexel Autism Institute; Drexel University |  | Director of the Clinical Core
[Philadelphia] Elizabeth McGhee Hassrick, PhD | A.J. Drexel Autism Institute; Drexel University |  | Assistant Professor
[Philadelphia] Emily Kuschner, PhD | Children's Hospital of Philadelphia (CHOP); Center for Autism Research (CAR); University of Pennsylvania (Perelman School of Medicine) |  | Clinical Psychologist & Scientist
[Philadelphia] Heather L. Green, PhD, CCC-SLP | Children's Hospital of Philadelphia (CHOP); Lurie Family Foundations MEG Imaging Center; Center for Autism Research (CAR) |  | Research Scientist
[Philadelphia] Heather J. Nuske, PhD | Penn Center for Mental Health (CMH); University of Pennsylvania |  | Research Assistant Professor of Psychiatry
[Philadelphia] Kristen Lyall, ScD | A.J. Drexel Autism Institute; Drexel University |  | Associate Professor
[Philadelphia] Lindsay Shea, DrPH | A.J. Drexel Autism Institute; Policy and Analytics Center (PAC); Drexel University |  | Director
[Philadelphia] Mark Liberman, PhD | Linguistic Data Consortium (Founder); University of Pennsylvania |  | Christopher H. Browne Distinguished Professor of Linguistics
[Philadelphia] Matthew Kayser, MD, PhD | Kayser Lab; University of Pennsylvania (Perelman School of Medicine) |  | Associate Professor of Psychiatry
[Philadelphia] Michelle D. Failla, PhD | Children's Hospital of Philadelphia (CHOP); Center for Autism Research (CAR); University of Pennsylvania (Perelman School of Medicine) |  | Scientist
[Philadelphia] Mina Kim, PhD, NCSP | Children's Hospital of Philadelphia (CHOP); Center for Autism Research (CAR) |  | Scientist and Licensed Psychologist
[Philadelphia] Yuhan Chen | Children's Hospital of Philadelphia (CHOP); Center for Autism Research (CAR) |  | Research Technician
[Philadelphia] Jill Locke, PhD | Penn Center for Mental Health; University of Pennsylvania | public health | Applies implementation science to identify and address barriers to using evidence-based practices for autism in public schools.
[Philadelphia] Paul A. Offit, MD | Vaccine Education Center; Children’s Hospital of Philadelphia; University of Pennsylvania | public health | Co-invented the RotaTeq® vaccine, a life-saving vaccine against rotavirus that is now a standard part of infant immunizations.
[Philadelphia] Stanley A. Plotkin, MD | Wistar Institute; University of Pennsylvania | public health | Developed the rubella vaccine, which has been instrumental in preventing congenital rubella syndrome and is a standard childhood immunization.
[Philadelphia] Robert T. Schultz, PhD | Center for Autism Research (CAR); Children's Hospital of Philadelphia (CHOP); University of Pennsylvania | brain science | Pioneered the use of neuroimaging to identify brain-based biomarkers for autism spectrum disorder.
[Philadelphia] Amy S. F. Lutz, PhD | National Council on Severe Autism (NCSA); University of Pennsylvania | media | Authored influential books like 'We Walk' and 'Chasing the Intact Mind,' providing a critical perspective on the realities of severe autism.
[Philadelphia] Kate Wallis, MD, MPH | Children's Hospital of Philadelphia (CHOP); PolicyLab; University of Pennsylvania (Perelman School of Medicine) |  | Attending Physician
[Philadelphia] David S. Mandell, ScD | Penn Center for Mental Health; University of Pennsylvania | public health | Conducts large-scale health services research to address systemic barriers to implementing evidence-based autism practices in schools and community health systems.
[Philadelphia] Giacomo Vivanti, PhD | A.J. Drexel Autism Institute; Drexel University | autism research | Leads research on early detection and intervention for autism.
[Phoenix] Christopher J. Smith, PhD | Southwest Autism Research & Resource Center | psychology | Developed expertise in autism diagnosis and quantitative trait measurement, contributing to improved assessment tools and research measures
[Phoenix] Richard E. Frye, MD, PhD | Phoenix Children's Hospital; University of Arizona; University of Arkansas for Medical Sciences | biology | Led randomized controlled trials demonstrating that leucovorin (folinic acid) improves communication in autistic children with cerebral folate autoantibodies.
[Piscataway] Vanessa Bal, PhD | Rutgers Center for Adult Autism Services (RCAAS); Rutgers University |  | Karmazin and Lillard Chair in Adult Autism
[Piscataway] Wayne Fisher, PhD | Rutgers Center for Adult Autism Services (RCAAS); Graduate School of Applied and Professional Psychology (GSAPP); Rutgers University |  | Professor and Director
[Pittsburgh] Greg Siegle, PhD | Program in Cognitive Affective Neuroscience (PICAN); REAACT Research Program; University of Pittsburgh |  | Professor of Psychiatry
[Pittsburgh] Nancy Minshew, MD | UPMC Western Psychiatric Hospital; Center for Excellence in Autism Research; University of Pittsburgh | brain science | Developed the cognitive theory of complex information processing deficits to explain the core features of autism.
[Pittsburgh] Jana Iverson, PhD | Infant Communication Lab; University of Pittsburgh |  | Professor
[Portland] Christina Nicolaidis, MD, MPH | Academic Autism Spectrum Partnership in Research and Education (AASPIRE); Portland State University (PSU); Oregon Health & Science University (OHSU) | public health & participatory research | Co-founded and directs AASPIRE, a leading organization in community-based participatory research (CBPR) partnering academics with autistic adults.
[Portland] Dora M Raymaker, PhD | Academic Autism Spectrum Partnership in Research and Education (AASPIRE); Regional Research Institute for Human Services; Portland State University |  | Research Associate Professor
[Portland] Eric Fombonne, MD | OHSU Institute on Development and Disability; Oregon Health & Science University (OHSU) |  | Professor Emeritus of Psychiatry
[Portland] Lark Huang-Storms, PhD | OHSU Institute on Development and Disability (IDD); Seattle Children's Autism Center; Oregon Health & Science University (OHSU) |  | Assistant Professor
[Portland] Rachel Greene, BA | Institute on Development and Disability (IDD); Oregon Health & Science University (OHSU) |  | Research Assistant II
[Portland] Joseph W. Vera, MA/MPH, CCC-SLP | Portland State University | language | Promotes disability justice in research and practice, focusing on improving outcomes for transition-age autistic young adults
[Portland] Anna Dvortcsak, MS, CCC-SLP | Dvortcsak Speech & Language Services; LLC; Project ImPACT | speech-language pathology | Co-developer of the 'Project ImPACT' (Improving Parents as Communication Teachers) curriculum.
[Portsmouth] Steven Kapp, PhD | University of Portsmouth |  | Lecturer in Psychology
[Pretoria] Kerstin Tönsing, PhD | Centre for Augmentative and Alternative Communication; University of Pretoria | assistive technology | Co-authored influential systematic reviews that define the evidence base for AAC in autism and other developmental disabilities.
[Pretoria] Shakila Dada, PhD | Centre for Augmentative and Alternative Communication; University of Pretoria | assistive technology | Conducts research to develop and validate evidence-based Augmentative and Alternative Communication (AAC) interventions for minimally verbal individuals.
[Princeton] Adele Goldberg | Princeton Psychology of Language Laboratory; Princeton University |  | Renowned cognitive linguist known for developing the Construction Grammar framework, explaining how people learn and use grammatical constructions.
[Princeton] Olga Troyanskaya, PhD | Flatiron Institute; Center for Computational Biology; Princeton University | genetics | Led a large-scale analysis of the SPARK cohort that used machine learning to define a biologically distinct subtype of profound autism.
[Providence] Linda LaGasse, PhD | Warren Alpert Medical School of Brown University; Women & Infants Hospital of Rhode Island; Brown University | pediatrics & psychology | Researches physiological regulation (e.g., autonomic functioning, respiratory sinus arrhythmia) in infants later diagnosed with ASD.
[Provo] Mikle South, PhD | BYU Autism Connect; Brigham Young University (BYU) |  | Professor
[Redwood City] Sarida Bat-Or Paley, PsyD | Private Practice |  | Clinical Neuropsychologist (Private Practice)
[Richardson] Noah Sasson, PhD | Sasson Lab for Social Cognition & Development; University of Texas at Dallas |  | Professor
[Richardson] Pumpki Lei Su | Sasson Lab for Social Cognition & Development; University of Texas at Dallas |  | PhD Student
[Richmond] Carla A. Wall, PhD | Children's Hospital of Richmond at VCU; VCU Child Development Clinic; Virginia Commonwealth University (VCU) | psychology | Clinical psychologist specializing in diagnostic and intervention services for children and adolescents.
[Richmond] Paige Cervantes, PhD | VCU Rehabilitation Research and Training Center (RRTC); Virginia Commonwealth University |  | Postdoctoral Fellow
[Richmond] Staci Carr, PhD | VCU Rehabilitation Research and Training Center; VCU Autism Center for Excellence (VCU-ACE); Virginia Commonwealth University (VCU) | autism research & policy | Focuses on transition from high school to adulthood for individuals with ASD.
[Rutherford] John C. Burke, PhD, BCBA-D | International Center for Autism and Disabilities Research (ICADR); Felician University |  | Executive Director
[Sacramento] Christine Wu Nordahl, PhD | UC Davis MIND Institute; Nordahl Lab; University of California; Davis | neuroscience & imaging | Directs the Autism Phenome Project (APP), a large-scale longitudinal study to identify autism subtypes.
[Sacramento] David Hessl, PhD | UC Davis MIND Institute; University of California; Davis |  | Professor
[Sacramento] Marjorie Solomon, PhD | UC Davis MIND Institute; University of California; Davis |  | Professor
[Sacramento] Melissa D. Bauman, PhD | UC Davis MIND Institute; California National Primate Research Center; University of California; Davis |  | Professor
[Sacramento] Sally Ozonoff, PhD | UC Davis MIND Institute; University of California; Davis |  | Professor and Vice Chair for Research
[Sacramento] David G. Amaral, PhD | UC Davis M.I.N.D. Institute; Autism BrainNet; California National Primate Research Center; University of California; Davis | neurobiology | Leads the Autism Phenome Project (APP) to define distinct neurobiological and behavioral subgroups (neurophenotypes) of autism.
[Sacramento] Sally J. Rogers, PhD | MIND Institute; University of California; Davis | psychology | Co-developed the Early Start Denver Model (ESDM), a comprehensive, play-based behavioral intervention for toddlers with autism.
[Sacramento] Stephen C Noctor, PhD | UC Davis MIND Institute; University of California; Davis |  | Associate Professor
[Salt Lake City] Amanda V. Bakian, PhD | Utah Registry of Autism and Developmental Disabilities (URADD); University of Utah School of Medicine | epidemiology & public health | Leads public health surveillance for autism and developmental disabilities in Utah.
[Salt Lake City] Anne V. Kirby, PhD, OTR/L | Department of Occupational & Recreational Therapies; University of Utah | occupational therapy | Researches the transition to adulthood for autistic individuals and their families.
[San Antonio] Michele Villalobos, PhD | UTSA College of Education and Human Development; University of Texas at San Antonio (UTSA) |  | Associate Professor
[San Diego] Aaron Besterman | Rady Children’s Hospital San Diego; University of California; San Diego |  | Demonstrated that comprehensive genetic testing can alter clinical management in nearly half of children with autism and developmental differences .
[San Diego] Inna Fishman, PhD | Brain Development Imaging Labs (BDIL); San Diego State University |  | Research Associate Professor
[San Diego] Teresa V. Girolamo, PhD, CCC-SLP | ASHA Certified Speech-Language Pathologist; San Diego State University |  | Assistant Professor
[San Diego] Robert K. Naviaux, MD, PhD | The Mitochondrial and Metabolic Disease Center; University of California; San Diego | biology | Developed the 'cell danger response' theory, proposing that chronic metabolic stress underlies many complex illnesses, including autism.
[San Diego] Eric Courchesne, PhD | UCSD Autism Center of Excellence; University of California; San Diego | brain science | Pioneered the 'early brain overgrowth' hypothesis of autism through postmortem and neuroimaging studies.
[San Diego] Bernard Rimland, PhD | Autism Research Institute | psychology | Authored the seminal 1964 book 'Infantile Autism', which reframed autism as a biological disorder and debunked the 'refrigerator mother' theory.
[San Diego] Ruth L. Carper, PhD | SDSU Brain Development Imaging Laboratories (BDIL); San Diego State University (SDSU) | neuroscience | Uses Magnetic Resonance Imaging (MRI) to study the neuroanatomy of autism and how it changes during development.
[San Francisco] Elliott H. Sherr, MD, PhD | UCSF Weill Institute for Neurosciences; Brain Development Research Program; University of California; San Francisco (UCSF) |  | Professor of Neurology and Pediatrics
[San Francisco] Helen Willsey, PhD | UCSF Weill Institute for Neurosciences; Willsey Lab; University of California; San Francisco (UCSF) |  | Assistant Professor
[San Francisco] Lauren A. Weiss, PhD | UCSF Weill Institute for Neurosciences; Institute for Human Genetics; University of California; San Francisco (UCSF) |  | Associate Professor
[San Francisco] Somer L. Bishop, PhD | UCSF Weill Institute for Neurosciences; Center for ASD & NDDs; University of California; San Francisco (UCSF) |  | Professor in Residence
[San Francisco] Whitney Ence, PhD, BCBA-D | UCSF Center for ASD & NDDs (Neurodevelopmental Disorders); University of California; San Francisco (UCSF) |  | Associate Clinical Professor
[San Francisco] Matthew W. State, MD, PhD | UCSF Weill Institute for Neurosciences; University of California; San Francisco | genetics | Co-led pioneering exome sequencing studies that identified numerous high-impact autism risk genes, including SCN2A.
[Santa Barbara] Ty Vernon, PhD | UCSB Koegel Autism Center; University of California; Santa Barbara (UCSB) |  | Associate Professor
[Santa Barbara] Kaitlynn Baiden | Koegel Autism Center; University of California; Santa Barbara | psychology | Conducts research on naturalistic developmental behavioral interventions (e.g., pivotal response treatment) for young children with autism to improve communication and social skills
[Scarborough] Susan L. Santangelo, ScD | MaineHealth Institute for Research; Center for Psychiatric Research; Tufts University School of Medicine (Professor) |  | Distinguished Scientist
[Seattle] Ana Carolina Cottington, PhD | Department of Psychology; University of Washington | psychology | Conducts research on camouflaging and masking behaviors in autistic adults.
[Seattle] Annette Estes, PhD | UW Autism Center; Center on Human Development and Disability (CHDD); University of Washington | psychology & language | Directs the clinical services, research, and training programs at the UW Autism Center.
[Seattle] Erin Olson, PhD | UW College of Education; UW Autism Center (alumni/affiliate); University of Washington |  | Licensed Psychologist
[Seattle] Mendy Minjarez, PhD | Seattle Children's Autism Center; University of Washington |  | Clinical Director
[Seattle] Michal Cook, MSW, MA | UW Autism Center; University of Washington |  | Research Coordinator
[Seattle] Todd C. Edwards, PhD | UW School of Public Health; University of Washington |  | Research Professor
[Seattle] Natalia Kleinhans, PhD | UW School of Medicine; UW Integrated Brain Imaging Center (IBIC); University of Washington |  | Professor
[Seattle] Sara Jane Webb, PhD | Seattle Children's Research Institute; Center for Integrative Brain Research; University of Washington |  | Professor
[Seattle] Jillian Schuh, PhD | Seattle Children’s Autism Center | psychology | Investigates the interplay between language development and cognitive function in children with ASD, shedding light on how communication skills relate to executive functioning
[Seattle] Daina Tagavi, PhD | Seattle Children’s Autism Center; University of Washington | psychology | Develops and disseminates novel tools for autism assessment and treatment (including telehealth approaches), improving remote monitoring of social communication
[Seattle] Stephen Dager, MD | Center on Human Development and Disability; University of Washington | brain science | Pioneered the use of magnetic resonance spectroscopy (MRS) to identify early neurochemical differences in the brains of infants who later develop autism.
[Seattle] Jennifer Gerdts, PhD | Seattle Children's Autism Center; University of Washington |  | Associate Professor
[Seattle] Ashley Penney, PhD | Seattle Children's Hospital; Autism Center; University of Washington (Affiliate) | psychology (aba) | Provides diagnostic evaluations and treatment for children with autism spectrum disorder.
[Seoul] Joon An, PhD | Korea University | genetics | Co-authored large-scale genomic studies that identified over 100 autism-linked genes as part of global consortia
[Spokane] Lucia Peixoto, PhD | Sleep and Performance Research Center; Washington State University |  | Associate Professor
[Stanford] Emily Ferguson, PhD | Stanford Autism and Developmental Disorders Research Program; Stanford University; University of California; Santa Barbara (Doctorate) |  | Postdoctoral Scholar
[Stanford] Mirko Uljarevic, PhD | Stanford Autism and Developmental Disorders Research Program; Stanford University School of Medicine |  | Assistant Professor
[Stanford] Philippe Mourrain, PhD | Stanford Center for Sleep Sciences and Medicine; Stanford University School of Medicine |  | Associate Professor
[Stanford] Rachel K. Schuck, PhD, BCBA-D | Stanford Autism and Developmental Disorders Research Program; Stanford University School of Medicine |  | Clinical Assistant Professor
[Stanford] Emily Spackman, PhD | Stanford University School of Medicine; Stanford Autism and Developmental Disorders Research Program; Stanford University | psychology | Postdoctoral Scholar
[Staten Island] Kristen Gillespie-Lynch, PhD | CUNY Graduate Center; Project REACH; City University of New York (CUNY); College of Staten Island |  | Professor
[Stillwater] Edwin J. Cramer, PhD | Oklahoma State University | psychology | Conducts research on behavioral and learning disorders in children and adolescents.
[Stony Brook] Matthew Lerner, PhD | Social Competence and Treatment Lab (SCTL); Stony Brook University |  | Associate Professor of Psychology
[Storrs] Inge-Marie Eigsti, PhD | Institute for Brain and Cognitive Sciences (IBACS); University of Connecticut |  | Professor of Clinical Psychology
[Storrs] Letitia Naigles, PhD | UConn Child Language Lab; University of Connecticut |  | Professor
[Storrs] Deborah Fein, PhD | University of Connecticut | psychology | Developed widely-used screening tools for autism in toddlers, such as the Modified Checklist for Autism in Toddlers (M-CHAT).
[Tallahassee] Amy Wetherby, PhD, CCC-SLP | FSU Autism Institute; FIRST WORDS Project; Florida State University College of Medicine | language & communication | Pioneered research on early detection of autism and communication disorders in infants and toddlers.
[Tampa] Trina D. Spencer, PhD | University of South Florida; University of Kansas | assistive technology | Conducts systematic reviews to establish the evidence base for Augmentative and Alternative Communication (AAC) interventions for minimally verbal individuals.
[Tempe] Stephen Gallegos | ASU Department of Psychology; Arizona State University |  | PhD Student
[The Arkansas Autism Resource & Outreach Center] Ben VanHook | Organization for Autism Research | public health | Advocates for neurodiversity by emphasizing the strengths of autistic individuals and challenging deficit-focused stereotypes in how autism is described .
[The University of Texas at Austin Dell Medical School] Audrey C. Brumback, MD, PhD | Department of Neurology; Dell Medical School; Brumback Lab for Neural Circuits and Behavior; University of Texas at Austin Dell Medical School | biomarkers & neurology | Studies the neural circuit basis of autism and related neurodevelopmental disorders using electrophysiology and imaging in animal models .
[Toronto] Evdokia Anagnostou, MD | Holland Bloorview Kids Rehabilitation Hospital; Autism Research Centre (ARC); University of Toronto |  | Professor
[Toronto] Louise Gallagher, MB BCh, PhD | Centre for Addiction and Mental Health (CAMH); University of Toronto; Trinity College Dublin (Adjunct) |  | Professor
[Toronto] Melanie Penner, MD | Holland Bloorview Kids Rehabilitation Hospital; Bloorview Research Institute; Autism Research Centre (ARC); University of Toronto (Assistant Professor) |  | Clinician-Scientist & Developmental Pediatrician
[Toronto] Meng-Chuan Lai, MD, PhD | Centre for Addiction and Mental Health (CAMH); University of Toronto; University of Cambridge (Visiting Researcher); National Taiwan University College of Medicine (Adjunct Associate Professor) |  | Staff Scientist
[Toronto] Peter Szatmari, MD | Centre for Addiction and Mental Health (CAMH); The Hospital for Sick Children (SickKids); University of Toronto |  | Chief
[Toronto] Jacob Ellegood, PhD | The Hospital for Sick Children (SickKids) Research Institute; University of Toronto (Assistant Professor) |  | Scientist
[Tuscaloosa] Sarah O'Kelley, PhD | Alabama Autism Spectrum Disorders College Transition and Support Program (UA-ACTS); UA Autism Spectrum Disorders Clinic; University of Alabama |  | Associate Professor
[United States] Daniel Garrison, PhD |  | psychology | Provides consultation and training on autism support services as an independent expert
[United States] Jeanie Metivier | Simons Foundation Powering Autism Research (SPARK) |  | SPARK Community Advisory Council Member
[University Park] Craig J. Newschaffer, PhD | College of Health & Human Development; Penn State; Pennsylvania State University | public health | Initial site principal investigator on major autism epidemiology studies (ADDM Network, SEED, ECHO), providing foundational data on autism prevalence and risk factors
